occur_date,location,depth,magnitude,max_seismic_scale
2011/3/12 5:41,land,5,3,3
2011/3/12 5:42,land,4,5.3,6_lower
2011/3/12 5:50,land,6,3,3
2011/3/12 5:57,land,12,3,3
2011/3/12 6:00,sea,12,5.5,3
2011/3/12 6:11,land,7,3.7,4
2011/3/12 6:19,land,0,3.7,3
2011/3/12 6:25,land,7,2.8,3
2011/3/12 6:27,land,2,3,3
2011/3/12 6:29,sea,33,4.7,3
2011/3/12 6:30,land,3,3.1,4
2011/3/12 6:34,sea,23,4.8,4
2011/3/12 6:34,land,7,3.5,3
2011/3/12 6:48,sea,11,4.6,3
2011/3/12 6:55,land,14,4.4,3
2011/3/12 7:01,land,4,3.9,4
2011/3/12 7:14,land,10,4.2,4
2011/3/12 7:18,land,7,3.8,4
2011/3/12 7:36,sea,25,4.4,3
2011/3/12 8:05,sea,47,4.9,3
2011/3/12 8:11,land,10,4.6,4
2011/3/12 8:25,land,8,3.4,3
2011/3/12 8:32,land,5,3.7,4
2011/3/12 8:53,sea,37,5.1,3
2011/3/12 8:54,sea,40,5,3
2011/3/12 8:57,land,6,3.4,3
2011/3/12 8:59,sea,28,5.5,3
2011/3/12 9:25,sea,23,4.8,3
2011/3/12 9:28,land,6,2.8,3
2011/3/12 9:39,sea,16,4.7,3
2011/3/12 10:04,sea,58,4.8,3
2011/3/12 10:12,land,11,4.8,3
2011/3/12 10:13,sea,30,4.9,4
2011/3/12 10:17,sea,49,4.5,3
2011/3/12 10:32,land,8,3.8,3
2011/3/12 10:34,sea,0,6.2,3
2011/3/12 10:42,land,6,3.7,4
2011/3/12 10:47,sea,0,6.8,4
2011/3/12 11:19,land,7,3,3
2011/3/12 11:30,sea,46,4.7,3
2011/3/12 11:34,sea,46,5.2,3
2011/3/12 11:43,sea,28,4.9,3
2011/3/12 11:52,sea,16,5.1,3
2011/3/12 12:01,sea,11,5.6,3
2011/3/12 12:11,sea,37,5.6,3
2011/3/12 12:40,land,6,3.2,3
2011/3/12 12:54,sea,16,5,3
2011/3/12 13:06,sea,40,5.3,4
2011/3/12 13:43,land,7,3.5,3
2011/3/12 14:14,land,10,4.8,3
2011/3/12 14:45,sea,30,4.4,3
2011/3/12 14:50,land,4,3.4,3
2011/3/12 14:55,land,7,4.2,4
2011/3/12 15:18,sea,44,5.5,4
2011/3/12 15:39,sea,48,4.1,3
2011/3/12 15:44,sea,43,4.7,3
2011/3/12 15:57,sea,25,3.9,3
2011/3/12 18:36,land,9,3.3,3
2011/3/12 18:39,sea,11,4.4,3
2011/3/12 19:08,land,5,3.6,4
2011/3/12 19:53,sea,20,5.8,4
2011/3/12 20:46,sea,26,5.5,3
2011/3/12 21:02,sea,16,4.6,3
2011/3/12 21:34,sea,49,3.9,3
2011/3/12 21:53,sea,2,5.9,3
2011/3/12 22:05,land,6,2.6,3
2011/3/12 22:14,sea,35,4.6,3
2011/3/12 22:15,sea,40,6.2,5_lower
